date;hour;price
2022-06-30;22;355,17
2022-06-30;23;251,89
2022-07-01;0;252,65
2022-07-01;1;259,48
2022-07-01;2;261,58
2022-07-01;3;259,74
2022-07-01;4;259,01
2022-07-01;5;275,36
2022-07-01;6;355,19
2022-07-01;7;378,85
2022-07-01;8;385,19
2022-07-01;9;378,00
2022-07-01;10;360,06
2022-07-01;11;354,77
2022-07-01;12;325,63
2022-07-01;13;300,72
2022-07-01;14;266,68
2022-07-01;15;254,79
2022-07-01;16;220,69
2022-07-01;17;253,71
2022-07-01;18;282,13
2022-07-01;19;321,49
2022-07-01;20;350,93
2022-07-01;21;304,83
2022-07-01;22;375,76
2022-07-01;23;353,61
2022-07-02;0;119,97
2022-07-02;1;15,06
2022-07-02;2;6,97
2022-07-02;3;4,91
2022-07-02;4;3,28
2022-07-02;5;4,70
2022-07-02;6;3,85
2022-07-02;7;15,37
2022-07-02;8;24,60
2022-07-02;9;26,18
2022-07-02;10;25,40
2022-07-02;11;79,04
2022-07-02;12;18,92
2022-07-02;13;9,94
2022-07-02;14;3,92
2022-07-02;15;87,03
2022-07-02;16;127,96
2022-07-02;17;234,53
2022-07-02;18;278,19
2022-07-02;19;341,60
2022-07-02;20;354,14
2022-07-02;21;351,32
2022-07-02;22;344,95
2022-07-02;23;294,92
2022-07-03;0;263,60
2022-07-03;1;232,24
2022-07-03;2;194,30
2022-07-03;3;190,91
2022-07-03;4;181,15
2022-07-03;5;75,04
2022-07-03;6;75,08
2022-07-03;7;187,70
2022-07-03;8;180,63
2022-07-03;9;166,18
2022-07-03;10;125,12
2022-07-03;11;104,85
2022-07-03;12;1,83
2022-07-03;13;1,60
2022-07-03;14;1,51
2022-07-03;15;1,52
2022-07-03;16;1,74
2022-07-03;17;170,27
2022-07-03;18;266,22
2022-07-03;19;319,15
2022-07-03;20;331,93
2022-07-03;21;340,07
2022-07-03;22;340,09
2022-07-03;23;325,07
2022-07-04;0;311,98
2022-07-04;1;271,16
2022-07-04;2;258,80
2022-07-04;3;248,25
2022-07-04;4;251,84
2022-07-04;5;295,18
2022-07-04;6;361,88
2022-07-04;7;376,00
2022-07-04;8;385,17
2022-07-04;9;366,00
2022-07-04;10;284,70
2022-07-04;11;221,30
2022-07-04;12;181,80
2022-07-04;13;184,36
2022-07-04;14;168,21
2022-07-04;15;161,07
2022-07-04;16;158,48
2022-07-04;17;189,03
2022-07-04;18;254,80
2022-07-04;19;250,03
2022-07-04;20;265,27
2022-07-04;21;376,27
2022-07-04;22;284,25
2022-07-04;23;1,45
2022-07-05;0;0,97
2022-07-05;1;0,91
2022-07-05;2;0,89
2022-07-05;3;0,92
2022-07-05;4;1,01
2022-07-05;5;1,43
2022-07-05;6;289,69
2022-07-05;7;402,68
2022-07-05;8;399,78
2022-07-05;9;303,43
2022-07-05;10;240,11
2022-07-05;11;255,70
2022-07-05;12;221,75
2022-07-05;13;130,05
2022-07-05;14;92,01
2022-07-05;15;99,81
2022-07-05;16;101,63
2022-07-05;17;234,16
2022-07-05;18;231,53
2022-07-05;19;260,63
2022-07-05;20;249,89
2022-07-05;21;249,71
2022-07-05;22;252,39
2022-07-05;23;1,01
2022-07-06;0;1,28
2022-07-06;1;0,94
2022-07-06;2;0,89
2022-07-06;3;1,01
2022-07-06;4;1,44
2022-07-06;5;4,97
2022-07-06;6;362,08
2022-07-06;7;166,34
2022-07-06;8;171,09
2022-07-06;9;171,10
2022-07-06;10;172,98
2022-07-06;11;171,27
2022-07-06;12;146,10
2022-07-06;13;73,29
2022-07-06;14;24,54
2022-07-06;15;19,88
2022-07-06;16;18,27
2022-07-06;17;171,79
2022-07-06;18;171,26
2022-07-06;19;237,06
2022-07-06;20;233,71
2022-07-06;21;233,73
2022-07-06;22;233,00
2022-07-06;23;36,43
2022-07-07;0;5,16
2022-07-07;1;4,29
2022-07-07;2;4,05
2022-07-07;3;4,59
2022-07-07;4;4,85
2022-07-07;5;5,62
2022-07-07;6;168,22
2022-07-07;7;231,87
2022-07-07;8;289,60
2022-07-07;9;249,86
2022-07-07;10;234,99
2022-07-07;11;220,00
2022-07-07;12;201,99
2022-07-07;13;190,48
2022-07-07;14;165,62
