hour,date,price
18,2022-06-29,"368,86"
19,2022-06-29,"390,90"
20,2022-06-29,"390,00"
21,2022-06-29,"366,90"
22,2022-06-29,"344,30"
23,2022-06-29,"268,97"
0,2022-06-30,"282,88"
1,2022-06-30,"272,58"
2,2022-06-30,"268,13"
3,2022-06-30,"271,33"
4,2022-06-30,"261,21"
5,2022-06-30,"274,01"
6,2022-06-30,"339,77"
7,2022-06-30,"369,89"
8,2022-06-30,"379,63"
9,2022-06-30,"341,75"
10,2022-06-30,"299,02"
11,2022-06-30,"274,02"
12,2022-06-30,"276,32"
13,2022-06-30,"268,97"
14,2022-06-30,"278,07"
15,2022-06-30,"285,79"
16,2022-06-30,"324,09"
17,2022-06-30,"372,44"
18,2022-06-30,"409,41"
19,2022-06-30,"479,00"
20,2022-06-30,"450,00"
21,2022-06-30,"394,21"
22,2022-06-30,"355,17"
23,2022-06-30,"251,89"
0,2022-07-01,"252,65"
1,2022-07-01,"259,48"
2,2022-07-01,"261,58"
3,2022-07-01,"259,74"
4,2022-07-01,"259,01"
5,2022-07-01,"275,36"
6,2022-07-01,"355,19"
7,2022-07-01,"378,85"
8,2022-07-01,"385,19"
9,2022-07-01,"378,00"
10,2022-07-01,"360,06"
11,2022-07-01,"354,77"
12,2022-07-01,"325,63"
13,2022-07-01,"300,72"
14,2022-07-01,"266,68"
15,2022-07-01,"254,79"
16,2022-07-01,"220,69"
17,2022-07-01,"253,71"
18,2022-07-01,"282,13"
19,2022-07-01,"321,49"
20,2022-07-01,"350,93"
21,2022-07-01,"304,83"
22,2022-07-01,"375,76"
23,2022-07-01,"353,61"
0,2022-07-02,"119,97"
1,2022-07-02,"15,06"
2,2022-07-02,"6,97"
3,2022-07-02,"4,91"
4,2022-07-02,"3,28"
5,2022-07-02,"4,70"
6,2022-07-02,"3,85"
7,2022-07-02,"15,37"
8,2022-07-02,"24,60"
9,2022-07-02,"26,18"
10,2022-07-02,"25,40"
11,2022-07-02,"79,04"
12,2022-07-02,"18,92"
13,2022-07-02,"9,94"
14,2022-07-02,"3,92"
15,2022-07-02,"87,03"
16,2022-07-02,"127,96"
17,2022-07-02,"234,53"
18,2022-07-02,"278,19"
19,2022-07-02,"341,60"
20,2022-07-02,"354,14"
21,2022-07-02,"351,32"
22,2022-07-02,"344,95"
23,2022-07-02,"294,92"
0,2022-07-03,"263,60"
1,2022-07-03,"232,24"
2,2022-07-03,"194,30"
3,2022-07-03,"190,91"
4,2022-07-03,"181,15"
5,2022-07-03,"75,04"
6,2022-07-03,"75,08"
7,2022-07-03,"187,70"
8,2022-07-03,"180,63"
9,2022-07-03,"166,18"
10,2022-07-03,"125,12"
11,2022-07-03,"104,85"
12,2022-07-03,"1,83"
13,2022-07-03,"1,60"
14,2022-07-03,"1,51"
15,2022-07-03,"1,52"
16,2022-07-03,"1,74"
17,2022-07-03,"170,27"
18,2022-07-03,"266,22"
19,2022-07-03,"319,15"
20,2022-07-03,"331,93"
21,2022-07-03,"340,07"
22,2022-07-03,"340,09"
23,2022-07-03,"325,07"
0,2022-07-04,"311,98"
1,2022-07-04,"271,16"
2,2022-07-04,"258,80"
3,2022-07-04,"248,25"
4,2022-07-04,"251,84"
5,2022-07-04,"295,18"
6,2022-07-04,"361,88"
7,2022-07-04,"376,00"
8,2022-07-04,"385,17"
9,2022-07-04,"366,00"
10,2022-07-04,"284,70"
11,2022-07-04,"221,30"
12,2022-07-04,"181,80"
13,2022-07-04,"184,36"
14,2022-07-04,"168,21"
15,2022-07-04,"161,07"
16,2022-07-04,"158,48"
17,2022-07-04,"189,03"
18,2022-07-04,"254,80"
19,2022-07-04,"250,03"
20,2022-07-04,"265,27"
21,2022-07-04,"376,27"
22,2022-07-04,"284,25"
23,2022-07-04,"1,45"
0,2022-07-05,"0,97"
1,2022-07-05,"0,91"
2,2022-07-05,"0,89"
3,2022-07-05,"0,92"
4,2022-07-05,"1,01"
5,2022-07-05,"1,43"
6,2022-07-05,"289,69"
7,2022-07-05,"402,68"
8,2022-07-05,"399,78"
9,2022-07-05,"303,43"
10,2022-07-05,"240,11"
11,2022-07-05,"255,70"
12,2022-07-05,"221,75"
13,2022-07-05,"130,05"
14,2022-07-05,"92,01"
15,2022-07-05,"99,81"
16,2022-07-05,"101,63"
17,2022-07-05,"234,16"
18,2022-07-05,"231,53"
19,2022-07-05,"260,63"
20,2022-07-05,"249,89"
21,2022-07-05,"249,71"
22,2022-07-05,"252,39"
23,2022-07-05,"1,01"
0,2022-07-06,"1,28"
1,2022-07-06,"0,94"
2,2022-07-06,"0,89"
3,2022-07-06,"1,01"
4,2022-07-06,"1,44"
5,2022-07-06,"4,97"
6,2022-07-06,"362,08"
7,2022-07-06,"166,34"
8,2022-07-06,"171,09"
9,2022-07-06,"171,10"
10,2022-07-06,"172,98"
11,2022-07-06,"171,27"
12,2022-07-06,"146,10"
13,2022-07-06,"73,29"
14,2022-07-06,"24,54"
15,2022-07-06,"19,88"
16,2022-07-06,"18,27"
17,2022-07-06,"171,79"
18,2022-07-06,"171,26"
19,2022-07-06,"237,06"
20,2022-07-06,"233,71"
21,2022-07-06,"233,73"
22,2022-07-06,"233,00"
23,2022-07-06,"36,43"
0,2022-07-07,"5,16"
1,2022-07-07,"4,29"
2,2022-07-07,"4,05"
3,2022-07-07,"4,59"
4,2022-07-07,"4,85"
5,2022-07-07,"5,62"
6,2022-07-07,"168,22"
7,2022-07-07,"231,87"
8,2022-07-07,"289,60"
9,2022-07-07,"249,86"
10,2022-07-07,"234,99"
11,2022-07-07,"220,00"
12,2022-07-07,"201,99"
13,2022-07-07,"190,48"
14,2022-07-07,"165,62"
15,2022-07-07,"159,07"
16,2022-07-07,"155,02"
17,2022-07-07,"169,68"
18,2022-07-07,"174,71"
19,2022-07-07,"192,50"
20,2022-07-07,"236,61"
21,2022-07-07,"248,35"
22,2022-07-07,"240,25"
23,2022-07-07,"193,19"
0,2022-07-08,"55,08"
1,2022-07-08,"19,01"
2,2022-07-08,"19,07"
3,2022-07-08,"0,76"
4,2022-07-08,"1,15"
5,2022-07-08,"150,93"
6,2022-07-08,"165,26"
7,2022-07-08,"213,96"
8,2022-07-08,"229,86"
9,2022-07-08,"230,63"
10,2022-07-08,"224,62"
11,2022-07-08,"213,77"
12,2022-07-08,"179,50"
13,2022-07-08,"163,58"
14,2022-07-08,"158,15"
15,2022-07-08,"151,22"
16,2022-07-08,"166,11"
17,2022-07-08,"206,80"
18,2022-07-08,"212,43"
19,2022-07-08,"214,86"
20,2022-07-08,"216,13"
21,2022-07-08,"10,32"
22,2022-07-08,"3,35"
23,2022-07-08,"2,62"
0,2022-07-09,"2,72"
1,2022-07-09,"2,30"
2,2022-07-09,"2,28"
3,2022-07-09,"2,43"
4,2022-07-09,"2,54"
5,2022-07-09,"2,38"
6,2022-07-09,"2,46"
7,2022-07-09,"2,99"
8,2022-07-09,"3,16"
9,2022-07-09,"3,32"
10,2022-07-09,"3,27"
11,2022-07-09,"3,07"
12,2022-07-09,"2,77"
13,2022-07-09,"2,41"
14,2022-07-09,"1,57"
15,2022-07-09,"1,53"
16,2022-07-09,"2,40"
17,2022-07-09,"2,74"
18,2022-07-09,"3,18"
19,2022-07-09,"3,56"
20,2022-07-09,"19,93"
21,2022-07-09,"12,05"
22,2022-07-09,"3,07"
23,2022-07-09,"2,28"
0,2022-07-10,"1,75"
1,2022-07-10,"1,49"
2,2022-07-10,"1,35"
3,2022-07-10,"1,41"
4,2022-07-10,"1,23"
5,2022-07-10,"1,01"
6,2022-07-10,"1,40"
7,2022-07-10,"1,46"
8,2022-07-10,"1,57"
9,2022-07-10,"1,90"
10,2022-07-10,"2,26"
11,2022-07-10,"3,27"
12,2022-07-10,"2,88"
13,2022-07-10,"2,18"
14,2022-07-10,"2,17"
15,2022-07-10,"2,56"
16,2022-07-10,"3,89"
17,2022-07-10,"52,73"
18,2022-07-10,"112,00"
19,2022-07-10,"161,14"
20,2022-07-10,"162,97"
21,2022-07-10,"160,44"
22,2022-07-10,"154,57"
23,2022-07-10,"3,30"
0,2022-07-11,"3,06"
1,2022-07-11,"2,90"
2,2022-07-11,"2,85"
3,2022-07-11,"2,83"
4,2022-07-11,"2,86"
5,2022-07-11,"7,29"
6,2022-07-11,"386,45"
7,2022-07-11,"415,08"
8,2022-07-11,"433,97"
9,2022-07-11,"416,32"
10,2022-07-11,"404,98"
11,2022-07-11,"396,90"
12,2022-07-11,"371,29"
13,2022-07-11,"366,09"
14,2022-07-11,"322,49"
15,2022-07-11,"285,00"
16,2022-07-11,"312,15"
17,2022-07-11,"375,48"
18,2022-07-11,"401,64"
19,2022-07-11,"458,03"
20,2022-07-11,"458,62"
21,2022-07-11,"441,27"
22,2022-07-11,"439,25"
23,2022-07-11,"409,09"
0,2022-07-12,"188,15"
1,2022-07-12,"129,90"
2,2022-07-12,"10,31"
3,2022-07-12,"10,01"
4,2022-07-12,"9,24"
5,2022-07-12,"11,72"
6,2022-07-12,"409,57"
7,2022-07-12,"453,66"
8,2022-07-12,"448,90"
9,2022-07-12,"382,42"
10,2022-07-12,"320,85"
11,2022-07-12,"319,89"
