price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
58.79;77.21;79.37;89.89;105.92;0.95;94.92958333333227;47.980416666666535
56.58;60.83;77.21;79.37;89.89;0.81;93.88499999999893;48.31779761904749
55.95;50.53;60.83;77.21;79.37;1.0;92.40208333333227;48.59255952380939
57.75;49.47;50.53;60.83;77.21;2.98;90.89458333333226;48.857678571428444
61.04;47.97;49.47;50.53;60.83;4.1;89.19124999999893;49.050595238095106
62.83;49.08;47.97;49.47;50.53;10.01;87.3416666666656;49.17898809523796
63.92;60.12;49.08;47.97;49.47;27.83;84.76833333333225;49.301607142857016
67.98;70.74;60.12;49.08;47.97;33.73;81.2241666666656;49.4333333333332
65.04;77.87;70.74;60.12;49.08;22.47;79.00249999999892;49.48452380952368
58.46;69.25;77.87;70.74;60.12;8.8;77.67458333333225;49.50630952380939
48.85;61.27;69.25;77.87;70.74;-0.02;76.46874999999892;49.620059523809395
38.43;57.28;61.27;69.25;77.87;-4.04;75.36083333333225;49.8125595238094
28.97;52.16;57.28;61.27;69.25;-8.02;74.17416666666558;50.003452380952254
12.33;48.67;52.16;57.28;61.27;-20.2;72.98541666666559;50.26351190476178
10.55;46.38;48.67;52.16;57.28;-29.32;71.87583333333227;50.53476190476177
18.33;47.31;46.38;48.67;52.16;-31.6;70.90124999999892;50.81380952380939
37.41;50.91;47.31;46.38;48.67;-10.07;70.0691666666656;51.01434523809511
62.83;57.36;50.91;47.31;46.38;2.0;69.0704166666656;51.121249999999876
78.9;63.08;57.36;50.91;47.31;28.65;67.78083333333225;51.26011904761892
89.61;63.75;63.08;57.36;50.91;52.66;65.21874999999892;51.45589285714273
97.04;64.69;63.75;63.08;57.36;40.03;62.54624999999893;51.701726190476066
90.31;64.61;64.69;63.75;63.08;34.65;60.824999999998916;51.97220238095226
86.07;63.71;64.61;64.69;63.75;20.6;59.73416666666558;52.262916666666534
82.9;61.63;63.71;64.61;64.69;7.05;58.994999999998925;52.60047619047606
81.85;58.79;61.63;63.71;64.61;0.43;58.22749999999892;52.94476190476177
70.59;56.58;58.79;61.63;63.71;0.83;58.05041666666559;53.27672619047606
69.53;55.95;56.58;58.79;61.63;0.91;58.276249999998925;53.603809523809396
64.4;57.75;55.95;56.58;58.79;0.42;58.62124999999892;53.9298214285713
63.88;61.04;57.75;55.95;56.58;0.49;59.16583333333225;54.268749999999876
63.62;62.83;61.04;57.75;55.95;2.91;59.73874999999892;54.58315476190464
64.43;63.92;62.83;61.04;57.75;12.55;59.89708333333226;54.79797619047607
60.53;67.98;63.92;62.83;61.04;13.0;59.78208333333226;55.001845238095115
60.88;65.04;67.98;63.92;62.83;7.41;59.24749999999892;55.255238095237985
54.73;58.46;65.04;67.98;63.92;0.0;58.79791666666559;55.550833333333216
43.29;48.85;58.46;65.04;67.98;-2.3;58.28041666666559;55.84172619047608
42.47;38.43;48.85;58.46;65.04;-11.98;57.494999999998925;56.09452380952371
43.94;28.97;38.43;48.85;58.46;-42.14;56.52874999999892;56.314702380952276
42.14;12.33;28.97;38.43;48.85;-53.31;55.01458333333225;56.50833333333323
41.48;10.55;12.33;28.97;38.43;-54.0;53.521666666665574;56.74565476190465
41.93;18.33;10.55;12.33;28.97;-40.05;52.31416666666558;57.04285714285704
47.7;37.41;18.33;10.55;12.33;-6.25;51.75166666666558;57.32547619047608
58.68;62.83;37.41;18.33;10.55;1.57;51.97958333333224;57.68755952380942
74.6;78.9;62.83;37.41;18.33;21.1;52.638749999998915;57.98666666666656
89.36;89.61;78.9;62.83;37.41;13.94;53.716249999998915;58.20660714285704
95.26;97.04;89.61;78.9;62.83;1.45;55.06416666666558;58.54595238095228
91.07;90.31;97.04;89.61;78.9;0.0;56.13499999999891;58.8772619047618
84.63;86.07;90.31;97.04;89.61;-0.05;57.066666666665576;59.26696428571418
85.65;82.9;86.07;90.31;97.04;-0.15;57.95291666666557;59.71845238095228
77.08;81.85;82.9;86.07;90.31;-1.73;58.913749999998906;60.20309523809514
69.99;70.59;81.85;82.9;86.07;-1.69;59.4974999999989;60.61833333333323
64.55;69.53;70.59;81.85;82.9;-0.58;60.06333333333223;61.026785714285616
64.38;64.4;69.53;70.59;81.85;-0.06;60.34041666666557;61.40761904761895
69.51;63.88;64.4;69.53;70.59;0.24;60.45874999999891;61.78494047619037
85.4;63.62;63.88;64.4;69.53;50.06;60.49166666666557;62.14630952380943
105.9;64.43;63.62;63.88;64.4;112.95;60.512916666665575;62.45511904761896
130.79;60.53;64.43;63.62;63.88;145.16;60.202499999998906;62.73803571428563
117.46;60.88;60.53;64.43;63.62;149.56;60.02916666666558;63.05630952380943
97.05;54.73;60.88;60.53;64.43;89.39;59.873749999998914;63.38208333333324
81.86;43.29;54.73;60.88;60.53;76.24;59.642083333332245;63.65345238095229
81.24;42.47;43.29;54.73;60.88;57.0;59.81041666666558;63.977559523809425
77.05;43.94;42.47;43.29;54.73;43.0;60.43416666666558;64.48994047619037
73.67;42.14;43.94;42.47;43.29;32.89;61.67624999999892;65.05809523809513
74.13;41.48;42.14;43.94;42.47;19.5;62.96499999999892;65.62642857142846
76.59;41.93;41.48;42.14;43.94;29.94;63.948333333332265;66.11440476190465
81.57;47.7;41.93;41.48;42.14;35.58;64.37708333333227;66.4355357142856
96.79;58.68;47.7;41.93;41.48;46.3;64.2041666666656;66.77547619047608
118.2;74.6;58.68;47.7;41.93;69.2;64.02499999999893;67.09392857142846
164.05;89.36;74.6;58.68;47.7;78.92;64.01458333333225;67.54285714285705
170.96;95.26;89.36;74.6;58.68;77.02;63.94041666666559;68.1012499999999
130.05;91.07;95.26;89.36;74.6;66.31;63.97208333333226;68.64333333333323
105.77;84.63;91.07;95.26;89.36;52.93;63.91208333333227;69.14738095238083
96.99;85.65;84.63;91.07;95.26;35.01;64.0266666666656;69.65809523809511
