price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
0.95;4.16;3.46;4.94;18.82;42.05;8.297083333332285;31.029702380952234
0.81;4.15;4.16;3.46;4.94;43.78;8.597916666665618;30.767083333333183
1.0;4.37;4.15;4.16;3.46;44.0;8.907499999998953;30.51023809523794
2.98;4.93;4.37;4.15;4.16;44.87;9.237916666665619;30.262619047618895
4.1;15.56;4.93;4.37;4.15;47.51;9.973333333332286;30.07345238095223
10.01;27.51;15.56;4.93;4.37;48.25;11.16416666666562;29.955714285714137
27.83;39.52;27.51;15.56;4.93;49.94;12.702083333332284;29.74773809523795
33.73;48.61;39.52;27.51;15.56;51.26;14.203749999998953;29.54767857142842
22.47;69.27;48.61;39.52;27.51;50.23;16.06041666666562;29.48559523809509
8.8;65.59;69.27;48.61;39.52;48.25;17.785416666665622;29.487797619047473
-0.02;42.16;65.59;69.27;48.61;39.12;19.24208333333229;29.438154761904613
-4.04;24.94;42.16;65.59;69.27;39.99;20.246249999998955;29.315535714285563
-8.02;20.09;24.94;42.16;65.59;39.55;21.073749999998956;29.17065476190461
-20.2;4.98;20.09;24.94;42.16;37.84;21.27041666666562;28.962023809523657
-29.32;0.81;4.98;20.09;24.94;34.92;21.292916666665622;28.74619047619033
-31.6;0.43;0.81;4.98;20.09;39.21;21.13583333333229;28.56398809523795
-10.07;17.22;0.43;0.81;4.98;39.87;21.491666666665623;28.502142857142715
2.0;39.4;17.22;0.43;0.81;46.28;22.20458333333229;28.498630952380807
28.65;39.75;39.4;17.22;0.43;52.7;22.79416666666562;28.43970238095224
52.66;30.86;39.75;39.4;17.22;58.37;23.02208333333229;28.305535714285572
40.03;23.39;30.86;39.75;39.4;48.28;23.12166666666562;28.123809523809385
34.65;19.17;23.39;30.86;39.75;45.02;23.136249999998952;27.920059523809385
20.6;14.87;19.17;23.39;30.86;39.86;23.54999999999895;27.694702380952247
7.05;4.92;14.87;19.17;23.39;25.26;23.61083333333228;27.428630952380818
0.43;0.95;4.92;14.87;19.17;11.3;23.477083333332285;27.183988095237957
0.83;0.81;0.95;4.92;14.87;0.1;23.337916666665617;26.928214285714155
0.91;1.0;0.81;0.95;4.92;0.0;23.19749999999895;26.672261904761772
0.42;2.98;1.0;0.81;0.95;0.0;23.116249999998953;26.42291666666653
0.49;4.1;2.98;1.0;0.81;0.0;22.638749999998954;26.164523809523676
2.91;10.01;4.1;2.98;1.0;0.0;21.90958333333229;25.93690476190463
12.55;27.83;10.01;4.1;2.98;0.0;21.42249999999896;25.80529761904749
13.0;33.73;27.83;10.01;4.1;0.0;20.802499999998957;25.70095238095225
7.41;22.47;33.73;27.83;10.01;0.0;18.852499999998958;25.535714285714157
0.0;8.8;22.47;33.73;27.83;-0.01;16.486249999998957;25.300892857142728
-2.3;-0.02;8.8;22.47;33.73;-0.16;14.728749999998959;25.067916666666537
-11.98;-4.04;-0.02;8.8;22.47;-3.01;13.521249999998957;24.805833333333204
-42.14;-8.02;-4.04;-0.02;8.8;-3.99;12.349999999998959;24.52267857142844
-53.31;-20.2;-8.02;-4.04;-0.02;-6.55;11.300833333332292;24.17720238095225
-54.0;-29.32;-20.2;-8.02;-4.04;-10.0;10.045416666665625;23.794821428571293
-40.05;-31.6;-29.32;-20.2;-8.02;-5.04;8.710833333332292;23.3733333333332
-6.25;-10.07;-31.6;-29.32;-20.2;-0.16;7.5737499999989595;23.076071428571293
1.57;2.0;-10.07;-31.6;-29.32;6.75;6.015416666665626;22.812499999999865
21.1;28.65;2.0;-10.07;-31.6;27.72;5.552916666665626;22.669345238095104
13.94;52.66;28.65;2.0;-10.07;29.87;6.46124999999896;22.63535714285701
1.45;40.03;52.66;28.65;2.0;25.71;7.154583333332294;22.586249999999865
0.0;34.65;40.03;52.66;28.65;23.62;7.799583333332294;22.524523809523675
-0.05;20.6;34.65;40.03;52.66;4.96;8.038333333332295;22.409880952380817
-0.15;7.05;20.6;34.65;40.03;1.22;8.127083333332296;22.30148809523796
-1.73;0.43;7.05;20.6;34.65;2.87;8.10541666666563;22.236785714285578
-1.69;0.83;0.43;7.05;20.6;2.48;8.106249999998964;22.241130952380814
-0.58;0.91;0.83;0.43;7.05;4.11;8.102499999998964;22.246547619047483
-0.06;0.42;0.91;0.83;0.43;4.91;7.995833333332296;22.24904761904748
0.24;0.49;0.42;0.91;0.83;24.42;7.84541666666563;22.25196428571415
50.06;2.91;0.49;0.42;0.91;33.88;7.549583333332297;22.269285714285576
112.95;12.55;2.91;0.49;0.42;99.54;6.91291666666563;22.343988095237957
145.16;13.0;12.55;2.91;0.49;117.45;6.049166666665631;22.42136904761891
