price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
36.79;37.68;56.92;75.62;77.69;38.05;78.26124999999895;63.26857142857133
37.3;34.26;37.68;56.92;75.62;38.09;76.70541666666563;63.47315476190467
36.91;32.24;34.26;37.68;56.92;36.68;75.13916666666563;63.66565476190466
37.91;28.92;32.24;34.26;37.68;35.62;73.44374999999897;63.83815476190466
38.03;31.92;28.92;32.24;34.26;34.9;71.88624999999898;64.02809523809513
38.11;36.94;31.92;28.92;32.24;34.26;70.43624999999898;64.16821428571419
41.95;42.32;36.94;31.92;28.92;34.28;68.56999999999898;64.25791666666657
43.48;48.05;42.32;36.94;31.92;35.57;66.47999999999898;64.20017857142847
37.72;53.23;48.05;42.32;36.94;37.08;64.43583333333231;64.136488095238
23.93;54.97;53.23;48.05;42.32;38.89;63.39291666666565;64.15113095238084
11.6;51.28;54.97;53.23;48.05;39.19;62.51249999999897;64.18869047619037
10.4;48.8;51.28;54.97;53.23;38.89;61.77916666666564;64.24595238095228
10.35;48.6;48.8;51.28;54.97;35.82;61.17666666666563;64.3070238095237
14.52;50.26;48.6;48.8;51.28;21.9;60.7858333333323;64.38029761904751
23.96;48.75;50.26;48.6;48.8;12.99;60.098749999998965;64.40946428571417
29.28;49.81;48.75;50.26;48.6;29.0;59.47874999999896;64.40648809523798
38.37;53.42;49.81;48.75;50.26;34.22;58.5683333333323;64.39988095238084
48.29;58.03;53.42;49.81;48.75;38.22;56.78208333333229;64.3852976190475
54.89;59.51;58.03;53.42;49.81;37.92;53.964583333332286;64.39124999999989
58.64;59.73;59.51;58.03;53.42;33.16;51.33458333333229;64.40630952380941
51.81;54.03;59.73;59.51;58.03;29.69;49.70749999999896;64.43672619047608
46.97;50.64;54.03;59.73;59.51;28.88;48.58041666666563;64.47660714285702
40.28;49.48;50.64;54.03;59.73;25.37;47.491249999998956;64.53303571428559
31.22;46.58;49.48;50.64;54.03;17.03;47.06041666666562;64.5827976190475
36.26;36.79;46.58;49.48;50.64;26.4;47.02333333333228;64.5752976190475
