price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
19.32;62.8;75.16;80.02;86.31;67.62;76.76458333333228;53.13976190476191
18.26;62.0;62.8;75.16;80.02;65.01;77.51583333333228;53.11988095238096
17.63;58.49;62.0;62.8;75.16;65.1;78.17124999999895;53.086785714285725
18.02;56.35;58.49;62.0;62.8;63.34;78.69208333333229;53.04863095238096
18.49;55.7;56.35;58.49;62.0;63.37;79.13333333333229;53.003273809523826
18.84;52.16;55.7;56.35;58.49;63.26;79.18124999999897;52.921785714285726
19.41;57.95;52.16;55.7;56.35;64.45;79.12124999999897;52.81589285714288
20.71;62.97;57.95;52.16;55.7;68.55;78.99291666666564;52.6586904761905
21.0;64.94;62.97;57.95;52.16;74.82;77.9895833333323;52.42458333333335
21.03;63.8;64.94;62.97;57.95;78.85;77.0958333333323;52.18946428571431
21.13;61.22;63.8;64.94;62.97;73.57;76.2570833333323;51.98333333333335
21.02;58.74;61.22;63.8;64.94;72.51;75.52874999999896;51.81773809523811
20.53;52.28;58.74;61.22;63.8;69.75;74.65916666666563;51.660357142857166
20.08;46.47;52.28;58.74;61.22;70.79;73.42916666666564;51.48964285714288
20.03;49.28;46.47;52.28;58.74;73.39;71.94166666666563;51.3251785714286
20.17;48.91;49.28;46.47;52.28;79.11;70.14333333333231;51.098750000000024
20.33;51.48;48.91;49.28;46.47;90.05;68.06416666666564;50.78255952380954
59.9;57.37;51.48;48.91;49.28;97.27;65.35666666666565;50.44089285714288
35.68;54.19;57.37;51.48;48.91;101.11;62.85208333333231;50.1176785714286
18.62;33.51;54.19;57.37;51.48;91.57;60.13208333333231;49.81059523809526
15.13;27.58;33.51;54.19;57.37;80.0;57.48666666666565;49.523452380952406
10.14;25.76;27.58;33.51;54.19;73.39;54.96374999999898;49.242202380952406
3.48;24.39;25.76;27.58;33.51;70.42;52.64583333333232;48.966607142857164
2.76;21.98;24.39;25.76;27.58;66.99;50.429999999998984;48.70047619047621
0.01;19.32;21.98;24.39;25.76;59.7;48.618333333332316;48.41297619047621
