price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
67.62;68.4;71.33;77.43;81.13;75.64;90.95208333333225;94.36791666666664
65.01;65.34;68.4;71.33;77.43;74.85;91.00416666666558;94.24428571428568
65.1;64.05;65.34;68.4;71.33;73.65;90.6329166666656;94.13047619047616
63.34;62.76;64.05;65.34;68.4;71.37;90.22374999999893;94.01238095238092
63.37;63.32;62.76;64.05;65.34;72.24;89.72999999999894;93.89928571428568
63.26;65.85;63.32;62.76;64.05;55.55;89.17999999999893;93.7955952380952
64.45;75.74;65.85;63.32;62.76;45.62;88.52583333333224;93.71130952380949
68.55;89.38;75.74;65.85;63.32;51.2;87.60208333333225;93.53999999999996
74.82;104.27;89.38;75.74;65.85;57.93;86.70124999999892;93.32291666666663
78.85;103.3;104.27;89.38;75.74;73.31;85.91499999999893;93.13446428571426
73.57;95.85;103.3;104.27;89.38;72.02;85.28791666666558;92.97874999999996
72.51;86.56;95.85;103.3;104.27;70.98;84.39666666666558;92.82744047619045
69.75;78.72;86.56;95.85;103.3;69.95;83.77874999999891;92.67446428571425
70.79;75.15;78.72;86.56;95.85;63.67;83.25916666666558;92.52291666666663
73.39;76.91;75.15;78.72;86.56;67.91;82.86249999999892;92.37339285714282
79.11;86.95;76.91;75.15;78.72;68.61;82.55833333333224;92.25190476190471
90.05;104.6;86.95;76.91;75.15;70.78;82.76999999999892;92.1773809523809
97.27;114.77;104.6;86.95;76.91;74.22;83.19041666666557;92.10160714285709
101.11;108.49;114.77;104.6;86.95;75.81;83.40833333333224;91.99738095238091
91.57;85.1;108.49;114.77;104.6;73.82;83.01541666666557;91.79279761904758
80.0;75.82;85.1;108.49;114.77;73.06;82.55083333333224;91.61208333333329
73.39;73.01;75.82;85.1;108.49;70.93;82.21249999999891;91.46047619047616
70.42;70.69;73.01;75.82;85.1;62.76;81.93166666666558;91.32547619047615
66.99;66.69;70.69;73.01;75.82;61.65;81.73833333333225;91.2155952380952
59.7;67.62;66.69;70.69;73.01;64.02;81.70583333333224;91.16785714285712
56.17;65.01;67.62;66.69;70.69;62.11;81.69208333333223;91.10928571428569
38.57;65.1;65.01;67.62;66.69;62.93;81.73583333333224;91.05839285714283
34.4;63.34;65.1;65.01;67.62;64.01;81.7599999999989;91.0105952380952
34.28;63.37;63.34;65.1;65.01;64.67;81.76208333333223;90.9577976190476
34.61;63.26;63.37;63.34;65.1;65.2;81.65416666666557;91.00369047619046
34.3;64.45;63.26;63.37;63.34;67.31;81.18374999999891;91.11577380952379
34.98;68.55;64.45;63.26;63.37;71.66;80.31583333333224;91.21904761904759
34.83;74.82;68.55;64.45;63.26;76.74;79.08874999999891;91.3195833333333
35.58;78.85;74.82;68.55;64.45;81.14;78.0699999999989;91.3525595238095
36.88;73.57;78.85;74.82;68.55;80.63;77.14166666666557;91.36178571428569
37.8;72.51;73.57;78.85;74.82;81.84;76.55624999999891;91.37089285714283
37.31;69.75;72.51;73.57;78.85;80.39;76.18249999999891;91.36970238095235
36.78;70.79;69.75;72.51;73.57;77.04;76.00083333333224;91.41208333333331
37.04;73.39;70.79;69.75;72.51;79.15;75.85416666666556;91.44470238095235
37.53;79.11;73.39;70.79;69.75;82.32;75.5274999999989;91.50720238095235
48.63;90.05;79.11;73.39;70.79;86.62;74.92124999999889;91.62190476190473
55.29;97.27;90.05;79.11;73.39;91.86;74.19208333333223;91.75910714285712
59.97;101.11;97.27;90.05;79.11;94.64;73.88458333333223;91.90970238095235
56.95;91.57;101.11;97.27;90.05;85.26;74.15416666666556;92.01535714285713
35.06;80.0;91.57;101.11;97.27;79.06;74.32833333333222;92.05666666666664
34.55;73.39;80.0;91.57;101.11;78.41;74.34416666666557;92.0713095238095
34.83;70.42;73.39;80.0;91.57;74.67;74.33291666666557;92.11690476190473
29.03;66.99;70.42;73.39;80.0;66.89;74.34541666666557;92.14869047619045
27.3;59.7;66.99;70.42;73.39;69.65;74.01541666666557;92.12297619047617
22.24;56.17;59.7;66.99;70.42;66.05;73.64708333333225;92.08761904761903
18.62;38.57;56.17;59.7;66.99;64.31;72.54166666666558;91.94261904761902
5.04;34.4;38.57;56.17;59.7;62.04;71.33583333333225;91.76636904761901
5.06;34.28;34.4;38.57;56.17;63.57;70.12374999999892;91.58547619047616
20.0;34.61;34.28;34.4;38.57;70.57;68.92999999999891;91.40339285714283
26.05;34.3;34.61;34.28;34.4;79.95;67.67374999999892;91.20690476190472
33.2;34.98;34.3;34.61;34.28;83.84;66.27499999999891;90.98857142857139
33.08;34.83;34.98;34.3;34.61;99.3;64.60874999999892;90.73910714285711
32.87;35.58;34.83;34.98;34.3;99.99;62.80583333333225;90.46791666666664
31.69;36.88;35.58;34.83;34.98;94.88;61.27708333333226;90.20749999999997
30.87;37.8;36.88;35.58;34.83;90.26;59.83083333333226;89.9453571428571
30.6;37.31;37.8;36.88;35.58;83.86;58.479166666665584;89.68892857142853
29.29;36.78;37.31;37.8;36.88;82.15;57.062083333332254;89.44928571428568
28.58;37.04;36.78;37.31;37.8;84.5;55.54749999999891;89.19863095238092
30.32;37.53;37.04;36.78;37.31;89.44;53.81499999999892;88.93202380952378
31.62;48.63;37.53;37.04;36.78;99.92;52.08916666666559;88.70589285714283
32.85;55.29;48.63;37.53;37.04;109.08;50.33999999999892;88.48821428571425
32.44;59.97;55.29;48.63;37.53;115.57;48.62583333333226;88.2818452380952
31.75;56.95;59.97;55.29;48.63;110.66;47.183333333332264;88.1133333333333
31.41;35.06;56.95;59.97;55.29;103.15;45.31083333333226;87.85142857142854
28.84;34.55;35.06;56.95;59.97;92.95;43.69249999999894;87.59035714285712
26.07;34.83;34.55;35.06;56.95;89.49;42.20958333333227;87.35321428571426
23.03;29.03;34.83;34.55;35.06;86.43;40.627916666665605;87.12785714285712
15.84;27.3;29.03;34.83;34.55;82.19;39.2779166666656;86.87577380952378
9.86;22.24;27.3;29.03;34.83;81.4;37.864166666665604;86.61499999999998
9.14;18.62;22.24;27.3;29.03;80.07;37.0329166666656;86.3430357142857
4.17;5.04;18.62;22.24;27.3;78.26;35.80958333333226;86.00374999999998
10.22;5.06;5.04;18.62;22.24;77.59;34.59208333333226;85.65547619047618
21.63;20.0;5.06;5.04;18.62;83.45;33.98333333333226;85.35446428571427
25.73;26.05;20.0;5.06;5.04;123.0;33.63958333333226;85.03363095238093
29.39;33.2;26.05;20.0;5.06;193.42;33.5654166666656;84.73220238095236
33.62;33.08;33.2;26.05;20.0;275.59;33.492499999998934;84.3380357142857
30.82;32.87;33.08;33.2;26.05;270.56;33.37958333333226;83.9385119047619
29.92;31.69;32.87;33.08;33.2;249.93;33.16333333333227;83.56238095238095
27.67;30.87;31.69;32.87;33.08;200.55;32.87458333333227;83.20886904761905
26.58;30.6;30.87;31.69;32.87;170.04;32.59499999999893;82.89184523809524
26.76;29.29;30.6;30.87;31.69;141.97;32.2829166666656;82.57720238095239
26.73;28.58;29.29;30.6;30.87;143.58;31.930416666665604;82.24434523809525
29.0;30.32;28.58;29.29;30.6;156.16;31.62999999999894;81.89244047619047
64.95;31.62;30.32;28.58;29.29;170.08;30.92124999999894;81.48589285714286
68.46;32.85;31.62;30.32;28.58;170.81;29.986249999998943;81.03214285714287
66.78;32.44;32.85;31.62;30.32;133.08;28.83916666666561;80.53732142857145
63.34;31.75;32.44;32.85;31.62;111.77;27.789166666665608;80.06761904761906
60.46;31.41;31.75;32.44;32.85;95.49;27.637083333332274;79.64059523809526
52.45;28.84;31.41;31.75;32.44;86.21;27.39916666666561;79.25898809523811
40.82;26.07;28.84;31.41;31.75;82.04;27.034166666665612;78.88148809523811
33.26;23.03;26.07;28.84;31.41;77.69;26.784166666665612;78.50410714285715
28.61;15.84;23.03;26.07;28.84;69.89;26.306666666665617;78.10916666666668
25.17;9.86;15.84;23.03;26.07;69.36;25.790833333332284;77.68333333333335
20.64;9.14;9.86;15.84;23.03;68.47;25.39583333333228;77.26113095238097
18.82;4.17;9.14;9.86;15.84;67.56;25.35958333333228;76.82011904761906
17.85;10.22;4.17;9.14;9.86;67.31;25.574583333332285;76.41910714285716
19.55;21.63;10.22;4.17;9.14;67.28;25.64249999999895;76.05113095238096
25.5;25.73;21.63;10.22;4.17;70.65;25.629166666665622;75.47214285714286
38.73;29.39;25.73;21.63;10.22;79.94;25.470416666665617;74.4957738095238
50.07;33.62;29.39;25.73;21.63;95.35;25.492916666665618;73.05547619047618
49.54;30.82;33.62;29.39;25.73;102.87;25.40749999999895;71.62845238095238
50.1;29.92;30.82;33.62;29.39;106.91;25.333749999998947;70.31886904761905
50.76;27.67;29.92;30.82;33.62;107.66;25.200416666665614;69.28982142857143
39.34;26.58;27.67;29.92;30.82;114.06;25.032916666665614;68.43589285714286
37.34;26.76;26.58;27.67;29.92;117.92;24.927499999998947;67.75011904761905
45.04;26.73;26.76;26.58;27.67;117.97;24.850416666665613;67.05458333333334
49.95;29.0;26.73;26.76;26.58;121.82;24.795416666665613;66.29767857142858
50.8;64.95;29.0;26.73;26.76;125.24;26.184166666665615;65.67190476190477
54.21;68.46;64.95;29.0;26.73;136.44;27.667916666665615;65.06267857142858
53.32;66.78;68.46;64.95;29.0;120.62;29.098749999998944;64.66803571428572
50.09;63.34;66.78;68.46;64.95;110.96;30.414999999998944;64.3797619047619
42.18;60.46;63.34;66.78;68.46;106.61;31.625416666665615;64.17125
