price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
61.14;67.27;65.98;75.6;80.61;-1.0;88.36666666666571;44.88720238095235
62.03;65.65;67.27;65.98;75.6;-1.49;88.05208333333236;45.224642857142825
62.34;64.67;65.65;67.27;65.98;-1.8;87.7404166666657;45.55511904761902
62.33;63.57;64.67;65.65;67.27;-2.05;87.42333333333237;45.87154761904759
62.35;62.97;63.57;64.67;65.65;-2.03;87.09083333333236;46.1765476190476
63.35;66.13;62.97;63.57;64.67;-1.83;86.68041666666569;46.4927976190476
62.64;67.42;66.13;62.97;63.57;-0.41;85.86124999999903;46.77345238095236
63.26;69.6;67.42;66.13;62.97;-0.06;84.1779166666657;46.84357142857141
64.74;75.48;69.6;67.42;66.13;0.01;81.77499999999903;46.936666666666646
65.72;73.68;75.48;69.6;67.42;2.11;80.11374999999903;47.029404761904736
67.47;71.46;73.68;75.48;69.6;2.15;79.0166666666657;47.117023809523786
67.27;70.75;71.46;73.68;75.48;0.03;78.1366666666657;47.28261904761902
66.18;69.52;70.75;71.46;73.68;0.0;77.3091666666657;47.55041666666665
65.12;69.6;69.52;70.75;71.46;-0.01;76.41833333333237;47.82589285714284
66.91;70.09;69.6;69.52;70.75;-0.01;75.38458333333236;48.1067857142857
68.01;70.12;70.09;69.6;69.52;0.49;74.37374999999902;48.38732142857142
68.92;70.8;70.12;70.09;69.6;3.41;73.44833333333236;48.68357142857142
86.2;76.44;70.8;70.12;70.09;10.3;72.23624999999903;49.01505952380952
84.91;75.94;76.44;70.8;70.12;10.39;71.35874999999903;49.35535714285714
69.06;70.94;75.94;76.44;70.8;3.5;70.72874999999904;49.69107142857142
65.28;67.25;70.94;75.94;76.44;0.08;70.0641666666657;50.02541666666666
64.18;66.15;67.25;70.94;75.94;1.44;69.4616666666657;50.37494047619047
63.38;64.96;66.15;67.25;70.94;0.01;69.01833333333238;50.756845238095224
61.93;63.28;64.96;66.15;67.25;-0.01;68.90583333333238;51.13357142857142
55.48;61.14;63.28;64.96;66.15;-0.1;68.65041666666572;51.50345238095237
53.67;62.03;61.14;63.28;64.96;-0.05;68.49958333333238;51.88154761904761
52.6;62.34;62.03;61.14;63.28;-0.06;68.40249999999904;52.26333333333332
46.83;62.33;62.34;62.03;61.14;-0.04;68.35083333333237;52.6465476190476
43.64;62.35;62.33;62.34;62.03;-0.01;68.32499999999904;53.02976190476189
46.25;63.35;62.35;62.33;62.34;-0.1;68.2091666666657;53.417738095238086
49.19;62.64;63.35;62.35;62.33;0.0;68.00999999999904;53.7930357142857
53.16;63.26;62.64;63.35;62.35;1.05;67.74583333333237;54.16994047619046
55.06;64.74;63.26;62.64;63.35;8.87;67.29833333333237;54.555238095238074
57.97;65.72;64.74;63.26;62.64;9.83;66.9666666666657;54.93386904761902
61.16;67.47;65.72;64.74;63.26;10.87;66.8004166666657;55.32267857142855
63.97;67.27;67.47;65.72;64.74;12.81;66.6554166666657;55.72291666666664
63.05;66.18;67.27;67.47;65.72;13.82;66.51624999999903;56.11684523809521
61.73;65.12;66.18;67.27;67.47;9.62;66.32958333333238;56.50452380952379
63.33;66.91;65.12;66.18;67.27;12.99;66.19708333333239;56.90285714285712
64.71;68.01;66.91;65.12;66.18;15.72;66.10916666666573;57.30476190476189
68.04;68.92;68.01;66.91;65.12;22.1;66.0308333333324;57.694702380952364
76.07;86.2;68.92;68.01;66.91;35.25;66.43749999999906;58.14648809523809
78.24;84.91;86.2;68.92;68.01;36.88;66.81124999999906;58.59005952380952
70.98;69.06;84.91;86.2;68.92;35.3;66.73291666666573;58.98029761904761
63.29;65.28;69.06;84.91;86.2;29.05;66.65083333333239;59.36839285714285
60.37;64.18;65.28;69.06;84.91;24.52;66.56874999999906;59.74184523809523
56.51;63.38;64.18;65.28;69.06;24.44;66.50291666666573;60.119047619047606
57.38;61.93;63.38;64.18;65.28;21.24;66.44666666666573;60.487738095238086
62.35;55.48;61.93;63.38;64.18;11.78;66.21083333333239;60.81857142857142
59.94;53.67;55.48;61.93;63.38;10.65;65.86249999999906;61.13833333333332
